Designator,Footprint,Quantity,Value,LCSC Part #
J1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
R1,R_Box_L13.0mm_W4.0mm_P9.00mm,1,47,
R2,R_Box_L13.0mm_W4.0mm_P9.00mm,1,10k,
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J11,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J12,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J13,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
R3,R_Box_L13.0mm_W4.0mm_P9.00mm,1,47,
R4,R_Box_L13.0mm_W4.0mm_P9.00mm,1,47,
R5,R_Box_L13.0mm_W4.0mm_P9.00mm,1,47,
R6,R_Box_L13.0mm_W4.0mm_P9.00mm,1,47,
R7,R_Box_L13.0mm_W4.0mm_P9.00mm,1,47,
R8,R_Box_L13.0mm_W4.0mm_P9.00mm,1,560,
R9,R_Box_L13.0mm_W4.0mm_P9.00mm,1,1k,
R10,R_Box_L13.0mm_W4.0mm_P9.00mm,1,10k,
R11,R_Box_L13.0mm_W4.0mm_P9.00mm,1,10k,
R12,R_Box_L13.0mm_W4.0mm_P9.00mm,1,10k,
R13,R_Box_L13.0mm_W4.0mm_P9.00mm,1,10k,
J14,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J15,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
R14,R_Box_L13.0mm_W4.0mm_P9.00mm,1,10k,
