"Source:","E:\Program Files (x86)\Лабораторные работы\upwork\FlyPi PCB\flypi_v2.sch"
"Date:","16.01.2020 20:56:12"
"Tool:","Eeschema (5.1.4)-1"
"Component Count:","28"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","680µ","Capacitor_THT:C_Radial_D10_L21_P5","","",""
"C2","220µ","Capacitor_THT:C_Radial_D8_L13_P3.8","","",""
"C3","680µ","Capacitor_THT:C_Radial_D10_L21_P5","","",""
"C4","220µ","Capacitor_THT:C_Radial_D8_L13_P3.8","","",""
"CON1","BARREL_JACK","Connector_BarrelJack:BarrelJack_Horizontal","","",""
"D1","Schottky 5A","Diode_THT:Diode_DO-201AD_Horizontal_RM15","","",""
"D2","Schottky 5A","Diode_THT:Diode_DO-201AD_Horizontal_RM15","","",""
"J12","USB_A","Connector_USB:USB_A_Vertical","","",""
"L1","33µH","Inductor_THT:Neosid_Inductor_MA-Bs75","","",""
"L2","33µH","Inductor_THT:Neosid_Inductor_MA-Bs75","","",""
"P1","D1","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P2","D2","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P3","D3","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P4","D4","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P5","D5","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P6","D6","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P7","D7","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P8","D8","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P9","A1","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P10","A2","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P11","A3","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P12","I2C 1","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P13","I2C 2","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P14","12V","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"P15","UART","Connector_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight","","",""
"U1","LM2596","footprints:LM2596","","",""
"U2","LM2596","footprints:LM2596","","",""
"U3","ESP32-DEVKITC-32D","MODULE_ESP32-DEVKITC-32D","4","",""
